timestamp,elapsed_seconds,p99_latency,cpu_cores,replicas
1781897362,0,nan,0.000324983994275905,1.0
1781897377,15,nan,0.00037915179508700035,1.0
1781897392,30,0.24829545454545454,0.3168449409375183,1.0
1781897407,45,0.24830344827586207,0.4779732472676021,1.0
1781897422,60,0.24829025423728812,0.7531835387154986,1.0
1781897437,75,0.24828880866425992,0.8635395441608195,1.0
1781897452,90,0.24830627306273065,0.8694912476801082,1.0
1781897467,105,0.24835164835164833,0.8678208833619199,1.0
1781897482,120,0.24892473118279568,0.8595528922229401,1.0
1781897497,135,0.24947992700729926,0.8536484814711671,1.0
1781897512,150,0.24997857142857144,0.8915965027956547,1.0
1781897527,165,0.24992758620689653,0.8846139944256968,1.0
1781897542,180,0.2493808724832215,0.8911095100330096,1.0
1781897557,195,0.24886610169491524,0.8829740642086075,1.0
1781897572,210,0.2483017857142857,0.8351616370834553,1.0
1781897587,225,0.24881494661921708,0.8024947608585411,1.0
1781897602,240,0.24882258064516127,0.8605934832058126,1.0
1781897617,255,0.248815,0.8895483335559083,1.0
1781897632,270,0.24833728813559322,0.8786459698038548,1.0
1781897647,285,0.2492638036809816,0.907675290882168,1.0
1781897662,300,0.26062499999999833,0.9168143808584106,1.0
1781897677,315,0.24993513513513513,1.0002442501517947,1.0
1781897692,330,0.24952244897959183,0.9958569839115206,1.0
1781897707,345,0.24831404958677686,0.9988291136626467,1.0
1781897722,360,,0.995706302511885,1.0
1781897737,375,,0.9997584235335208,1.0
1781897752,390,,0.9959907396821773,1.0
1781897767,405,,0.9991972817626635,1.0
1781897782,420,,0.8300594677089,1.0
1781897797,435,,0.9997469341426708,1.0
1781897812,450,,0.9964950025041933,1.0
1781897827,465,,0.9982512875945795,1.0
1781897842,480,,0.996745329275505,1.0
1781897857,495,,0.9998441552458828,1.0
1781897872,510,,0.9961059485595861,1.0
1781897887,525,,0.9990474786561064,1.0
1781897902,540,,0.9958411862806134,1.0
1781897917,555,,0.9998654327893616,1.0
1781897932,570,,0.9961809343709843,1.0
1781897947,585,,0.9993871296060732,1.0
1781897962,600,,0.996239009565093,1.0
1781897977,615,,0.9979116310726039,1.0
1781897992,630,,0.822110139457428,1.0
1781898007,645,,0.998166407947839,1.0
1781898022,660,,0.9961510748489439,1.0
1781898037,675,,0.9007146802165052,1.0
1781898052,690,nan,0.6199312579584545,1.0
1781898067,705,nan,0.28649374269981775,1.0
1781898082,720,nan,0.00011539173492591683,1.0
1781898097,735,nan,9.572546658689951e-05,1.0
1781898112,750,nan,0.00012786120737667126,1.0
1781898127,765,nan,0.00018957943319118054,1.0
1781898142,780,nan,0.0002718746425739511,1.0
