timestamp,elapsed_seconds,p99_latency,cpu_cores,replicas
1782289946,0,nan,0.0004188094001851069,1.0
1782289961,15,0.4824999999999998,0.000407357928270096,1.0
1782289976,30,0.25,0.27342020893000635,1.0
1782289991,45,0.2492659574468085,0.5476720226651807,1.0
1782290006,60,0.24847769516728624,0.8192117661468128,1.0
1782290021,75,0.24904807692307693,0.8304920737925271,1.0
1782290036,90,0.2490438247011952,0.8216233208569665,1.0
1782290051,105,0.2496949152542373,0.6683279451456072,1.0
1782290066,120,0.2497088607594937,0.7135658054427566,1.0
1782290081,135,0.24968292682926826,0.8793344923240605,1.0
1782290096,150,0.2899999999999986,0.82021868394691,1.0
1782290111,165,0.24930165289256195,0.9673499076683835,1.0
1782290126,180,0.24933189655172414,0.8549904080594782,1.0
1782290141,195,0.24846029411764706,0.8503341052001199,1.0
1782290156,210,0.24844797687861273,0.8467241151816218,1.0
1782290171,225,0.24844962686567162,0.8337846762824,1.0
1782290186,240,0.248456678700361,0.7253153352670391,1.0
1782290201,255,0.24847395833333336,0.8358845498276588,1.0
1782290216,270,0.24847668393782382,0.8498455102902108,1.0
1782290231,285,0.2485,0.6915413111111092,1.0
1782290246,300,,0.8452065782457158,1.0
1782290261,315,,1.0348992411467135,1.0
1782290276,330,,0.9981168132160937,1.0
1782290291,345,,1.0005303912479149,1.0
1782290306,360,,0.9996844884011058,1.0
1782290321,375,,1.0107277705132374,1.0
1782290336,390,,0.9705237856426427,1.0
1782290351,405,,0.9750244992846879,1.0
1782290366,420,,1.0129380296503057,2.0
1782290381,435,,1.1201048796312914,2.0
1782290396,450,,1.367434629500808,2.0
1782290411,465,0.24792957746478875,1.5707390111410726,2.0
1782290426,480,0.24795089285714284,1.6117386616506113,2.0
1782290441,495,0.24796428571428572,1.4313484736315067,2.0
1782290456,510,0.2479527027027027,1.4391882899398698,2.0
1782290471,525,0.24790217391304345,1.3646042036499044,2.0
1782290486,540,0.249013698630137,1.3840076193050752,2.0
1782290501,555,0.24894043692934312,1.2289082520449601,2.0
1782290516,570,0.248893456926822,1.0930493860870198,2.0
1782290531,585,0.24820242914979757,0.8566428388865598,2.0
1782290546,600,0.24833646458158382,0.7845436193960151,2.0
1782290561,615,0.24837185791975883,0.6342054606734019,2.0
1782290576,630,0.24834999830725327,0.3261889154425064,2.0
1782290591,645,0.24816666666666665,0.0644635785647115,2.0
1782290606,660,nan,0.0007895272549581437,2.0
1782290621,675,nan,0.0007875010002456233,2.0
1782290636,690,nan,0.0007561718572588196,2.0
1782290651,705,nan,0.0007418276424702936,2.0
1782290666,720,nan,0.000711944174206159,2.0
1782290681,735,nan,0.0007257724310461575,2.0
1782290696,750,nan,0.0007698852371820732,2.0
1782290711,765,nan,0.0006602067068519374,2.0
1782290726,780,nan,0.0007174149517650034,2.0
1782290741,795,nan,0.0006637952979865215,2.0
1782290756,810,nan,0.0006793417724009602,2.0
1782290771,825,nan,0.0007771010986025678,2.0
1782290786,840,nan,0.0007460577801648558,2.0
1782290801,855,nan,0.0008276605373634793,2.0
1782290816,870,nan,0.000760763638671167,2.0
1782290831,885,nan,0.0006578741085958355,2.0
1782290846,900,nan,0.0006063390005441289,2.0
1782290861,915,nan,0.00045324457599983854,1.0
